government-organisation	abbreviation	government-organisation-type	govuk	name	website	parent-govuks
PB226	CSC	Executive non-departmental public body	commonwealth-scholarship-commission-in-the-uk	Commonwealth Scholarship Commission in the UK	https://www.gov.uk/government/organisations/commonwealth-scholarship-commission-in-the-uk	department-for-international-development
PB230	E2025	Advisory non-departmental public body	equality-2025	Equality 2025	https://www.gov.uk/government/organisations/equality-2025	department-for-work-pensions
PB231	IIAC	Advisory non-departmental public body	industrial-injuries-advisory-council	Industrial Injuries Advisory Council	https://www.gov.uk/government/organisations/industrial-injuries-advisory-council	department-for-work-pensions
PB232	SSAC	Advisory non-departmental public body	social-security-advisory-committee	Social Security Advisory Committee	https://www.gov.uk/government/organisations/social-security-advisory-committee	department-for-work-pensions
PB233	TPAS	Executive non-departmental public body	the-pensions-advisory-service	The Pensions Advisory Service	https://www.gov.uk/government/organisations/the-pensions-advisory-service	department-for-work-pensions
PB234	TPR	Executive non-departmental public body	the-pensions-regulator	The Pensions Regulator	https://www.gov.uk/government/organisations/the-pensions-regulator	department-for-work-pensions
PB235	PPFO	Tribunal non-departmental public body	pension-protection-fund-ombudsman	Pension Protection Fund Ombudsman	https://www.gov.uk/government/organisations/pension-protection-fund-ombudsman	department-for-work-pensions
PB236	PO	Tribunal non-departmental public body	pensions-ombudsman	Pensions Ombudsman	https://www.gov.uk/government/organisations/pensions-ombudsman	department-for-work-pensions
OT237	NEST Corporation	Executive non-departmental public body	national-employment-savings-trust	National Employment Savings Trust (NEST) Corporation	https://www.gov.uk/government/organisations/national-employment-savings-trust	department-for-work-pensions
D240	Ofwat	Non-ministerial department	the-water-services-regulation-authority	The Water Services Regulation Authority 	https://www.gov.uk/government/organisations/the-water-services-regulation-authority	department-for-environment-food-rural-affairs
D241	UKEF	Ministerial department	uk-export-finance	UK Export Finance	https://www.gov.uk/government/organisations/uk-export-finance	
EA242	EFA	Executive agency	education-funding-agency	Education Funding Agency	https://www.gov.uk/government/organisations/education-funding-agency	department-for-education
EA243	STA	Executive agency	standards-and-testing-agency	Standards and Testing Agency	https://www.gov.uk/government/organisations/standards-and-testing-agency	department-for-education
PB246	Cafcass	Executive non-departmental public body	children-and-family-court-advisory-and-support-service	Cafcass	https://www.gov.uk/government/organisations/children-and-family-court-advisory-and-support-service	ministry-of-justice
PB247	DPTAC	Advisory non-departmental public body	disabled-persons-transport-advisory-committee	Disabled Persons Transport Advisory Committee	https://www.gov.uk/government/organisations/disabled-persons-transport-advisory-committee	department-for-transport
OT248	AAIB	Other	air-accidents-investigation-branch	Air Accidents Investigation Branch	https://www.gov.uk/government/organisations/air-accidents-investigation-branch	department-for-transport
OT249	RAIB	Other	rail-accident-investigation-branch	Rail Accident Investigation Branch	https://www.gov.uk/government/organisations/rail-accident-investigation-branch	department-for-transport
PB251	CQC	Executive non-departmental public body	care-quality-commission	Care Quality Commission	https://www.gov.uk/government/organisations/care-quality-commission	department-of-health
PB253	HFEA	Executive non-departmental public body	human-fertilisation-and-embryology-authority	Human Fertilisation and Embryology Authority	https://www.gov.uk/government/organisations/human-fertilisation-and-embryology-authority	department-of-health
PB254	HTA	Executive non-departmental public body	human-tissue-authority	Human Tissue Authority	https://www.gov.uk/government/organisations/human-tissue-authority	department-of-health
PB255	Monitor	Executive non-departmental public body	monitor	Monitor	https://www.gov.uk/government/organisations/monitor	department-of-health
PB257	FCC	Tribunal non-departmental public body	foreign-compensation-commission	Foreign Compensation Commission	https://www.gov.uk/government/organisations/foreign-compensation-commission	
