government-organisation	name	website	type	start-date	end date
chief-fire-and-rescue-adviser-unit	Chief Fire and Rescue Adviser	government/organisations/chief-fire-and-rescue-adviser-unit	Sub-organisation		
chief-inspector-of-the-uk-border-agency	Independent Chief Inspector of Borders and Immigration	government/organisations/chief-inspector-of-the-uk-border-agency	Independent monitoring body		
child-maintenance-and-enforcement-commission	Child Maintenance and Enforcement Commission	government/organisations/child-maintenance-and-enforcement-commission	Other		30/07/2012
children-and-family-court-advisory-and-support-service	Cafcass	government/organisations/children-and-family-court-advisory-and-support-service	Executive non-departmental public body		
childrens-workforce-development-council	Children's Workforce Development Council	government/organisations/childrens-workforce-development-council	Other		31/03/2012
civil-aviation-authority	Civil Aviation Authority	government/organisations/civil-aviation-authority	Public corporation		
civil-justice-council	Civil Justice Council	government/organisations/civil-justice-council	Advisory non-departmental public body		
civil-nuclear-constabulary	Civil Nuclear Constabulary	government/organisations/civil-nuclear-constabulary	Sub-organisation		
civil-nuclear-police-authority	Civil Nuclear Police Authority	government/organisations/civil-nuclear-police-authority	Executive non-departmental public body		
civil-procedure-rules-committee	Civil Procedure Rule Committee	government/organisations/civil-procedure-rules-committee	Advisory non-departmental public body		
civil-service	Civil Service	government/organisations/civil-service	Civil Service		
civil-service-board	Civil Service Board	government/organisations/civil-service-board	Sub-organisation		
civil-service-commission		government/organisations/civil-service-commission	Executive non-departmental public body		
civil-service-corporate-finance-profession-cfp	Government Corporate Finance Commission	government/organisations/civil-service-corporate-finance-profession-cfp	Sub-organisation		
civil-service-fast-stream	Civil Service Fast Stream	government/organisations/civil-service-fast-stream	Sub-organisation		
civil-service-fast-track-apprenticeship	Civil Service Fast Track Apprenticeship	government/organisations/civil-service-fast-track-apprenticeship	Sub-organisation		
civil-service-government-communication-service	Government Communication Service	government/organisations/civil-service-government-communication-service	Sub-organisation		
civil-service-government-economic-service	Government Economic Service	government/organisations/civil-service-government-economic-service	Sub-organisation		
civil-service-government-finance-profession	Government Finance Profession	government/organisations/civil-service-government-finance-profession	Sub-organisation		
civil-service-government-it-profession	Government IT Profession	government/organisations/civil-service-government-it-profession	Sub-organisation		
civil-service-government-knowledge-information-management-profession	Government Knowledge & Information Management Profession	government/organisations/civil-service-government-knowledge-information-management-profession	Sub-organisation		
civil-service-government-legal-service	Government Legal Service	government/organisations/civil-service-government-legal-service	Sub-organisation		
civil-service-government-occupational-psychology-profession	Government Occupational Psychology Profession	government/organisations/civil-service-government-occupational-psychology-profession	Sub-organisation		
civil-service-government-operational-research-service	Government Operational Research Service	government/organisations/civil-service-government-operational-research-service	Sub-organisation		
civil-service-government-planning-inspectors	Government Planning Inspectors	government/organisations/civil-service-government-planning-inspectors	Sub-organisation		
civil-service-government-property-profession	Government Property Profession	government/organisations/civil-service-government-property-profession	Sub-organisation		
civil-service-government-science-engineering	Government Science & Engineering Profession	government/organisations/civil-service-government-science-engineering	Sub-organisation		
civil-service-government-social-research-profession	Government Social Research Profession	government/organisations/civil-service-government-social-research-profession	Sub-organisation		
civil-service-government-statistical-service	Government Statistical Service	government/organisations/civil-service-government-statistical-service	Sub-organisation		
civil-service-government-tax-profession	Government Tax Profession	government/organisations/civil-service-government-tax-profession	Sub-organisation		
civil-service-government-veterinary-surgeons	Government Veterinary Services	government/organisations/civil-service-government-veterinary-surgeons	Sub-organisation		
civil-service-human-resources-profession	Human Resources Profession	government/organisations/civil-service-human-resources-profession	Sub-organisation		
civil-service-intelligence-analysis-profession	Intelligence Analysis	government/organisations/civil-service-intelligence-analysis-profession	Sub-organisation		
