government-organisation	name	website	government-organisation-type	parent-bodies	text	crest	official-colour	abbreviation	start-date	end date
police-complaints-authority	Police Complaints Authority	https://www.gov.uk/government/organisations/police-complaints-authority	Other							31-03-2004
police-discipline-appeals-tribunal	Police Discipline Appeals Tribunal	https://www.gov.uk/government/organisations/police-discipline-appeals-tribunal	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/home-office				Police Discipline		
police-information-technology-organisation	Police Information Technology Organisation	https://www.gov.uk/government/organisations/police-information-technology-organisation	Executive agency							31-03-2007
police-negotiating-board	Police Negotiating Board	https://www.gov.uk/government/organisations/police-negotiating-board	Advisory non-departmental public body	https://www.gov.uk/api/organisations/home-office				PNB		01-10-2014
police-remuneration-review-body	Police Remuneration Review Body	https://www.gov.uk/government/organisations/police-remuneration-review-body	Advisory non-departmental public body	https://www.gov.uk/api/organisations/home-office				PRRB		
police-service-of-northern-ireland	Police Service of Northern Ireland	https://www.gov.uk/government/organisations/police-service-of-northern-Ireland	Other							
polytechnics-and-colleges-funding-council	Polytechnics and Colleges Funding Council	https://www.gov.uk/government/organisations/polytechnics-and-colleges-funding-council	Other							1992
porton-biopharma-limited	Porton Biopharma Limited	http://www.portonbiopharma.com/	Other	https://www.gov.uk/api/organisations/department-of-health				PBL		
postal-services-commission	Postal Services Commission	https://www.gov.uk/government/organisations/postal-services-commission	Other							01-10-2011
postgraduate-medical-education-and-training-board	Postgraduate Medical Education and Training Board	https://www.gov.uk/government/organisations/postgraduate-medical-education-and-training-board	Other							01-04-2010
prescription-pricing-authority	Prescription Pricing Authority	https://www.gov.uk/government/organisations/prescription-pricing-authority	Other							01-04-2006
prime-ministers-office-10-downing-street	"Prime Minister's Office, 10 Downing Street"	https://www.gov.uk/government/organisations/prime-ministers-office-10-downing-street	Executive office	https://www.gov.uk/api/organisations/cabinet-office		org-crest		Number 10		
prison-services-pay-review-body	Prison Service Pay Review Body	https://www.gov.uk/government/organisations/prison-services-pay-review-body	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-justice				PSPRB		
prisons-and-probation-ombudsman	Prisons and Probation Ombudsman	https://www.gov.uk/government/organisations/prisons-and-probation-ombudsman	Other	https://www.gov.uk/api/organisations/ministry-of-justice				PPO		
privy-council-office	Privy Council Office	https://www.gov.uk/government/organisations/privy-council-office	Other	https://www.gov.uk/api/organisations/cabinet-office				PCO		
probation-board-for-northern-ireland	Probation Board for Northern Ireland	https://www.gov.uk/government/organisations/probation-board-for-northern-Ireland	Other							
professional-oversight-board	Professional Oversight Board	https://www.gov.uk/government/organisations/professional-oversight-board	Other							02-07-2012
professional-standards-authority-for-health-and-social-care	Professional Standards Authority for Health and Social Care	https://www.gov.uk/government/organisations/professional-standards-authority-for-health-and-social-care	Other							
public-accounts-commission	Public Accounts Commission	https://www.gov.uk/government/organisations/public-accounts-commission	Other							http://www.parliament.uk/business/committees/committees-a-z/other-committees/public-accounts-commission/
public-health-england	Public Health England	https://www.gov.uk/government/organisations/public-health-england	Executive agency	https://www.gov.uk/api/organisations/department-of-health				PHE		
public-health-laboratory-service-board	Public Health Laboratory Service Board	https://www.gov.uk/government/organisations/public-health-laboratory-service-board	Executive agency							02-08-2004
public-health-wales	Public Health Wales	https://www.gov.uk/government/organisations/public-health-wales	Other					PHW		
public-lending-right-office	Public Lending Right Office	https://www.gov.uk/government/organisations/public-lending-right-office	Other							01-10-2013
public-prosecution-service-for-northern-ireland	Public Prosecution Service for Northern Ireland	https://www.gov.uk/government/organisations/public-prosecution-service-for-northern-Ireland	Other							
pubs-code-adjudicator	Pubs Code Adjudicator	https://www.gov.uk/government/organisations/pubs-code-adjudicator	Other					PCA		
qualifications-and-curriculum-authority	Qualifications and Curriculum Authority	https://www.gov.uk/government/organisations/qualifications-and-curriculum-authority	Executive agency					QCA		01-04-2010
qualifications-and-curriculum-development-agency	Qualifications and Curriculum Development Agency	https://www.gov.uk/government/organisations/qualifications-and-curriculum-development-agency	Executive agency					QCDA		01-04-2012
queen-elizabeth-ii-conference-centre	Queen Elizabeth II Conference Centre	https://www.gov.uk/government/organisations/queen-elizabeth-ii-conference-centre	Executive agency	https://www.gov.uk/api/organisations/department-for-communities-and-local-government				QEIICC		
queens-bench-division-of-the-high-court	Queen's Bench Division of the High Court	https://www.gov.uk/courts-tribunals/queens-bench-division-of-the-high-court	Court	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
queens-harbour-master	Queen's Harbour Master	https://www.gov.uk/government/organisations/queens-harbour-master	Sub-organisation	https://www.gov.uk/api/organisations/ministry-of-defence				QHM		
radioactive-waste-management	Radioactive Waste Management	https://www.gov.uk/government/organisations/radioactive-waste-management	Other	https://www.gov.uk/api/organisations/nuclear-decommissioning-authority				RWM		
rail-accident-investigation-branch	Rail Accident Investigation Branch	https://www.gov.uk/government/organisations/rail-accident-investigation-branch	Other	https://www.gov.uk/api/organisations/department-for-transport				RAIB		
railway-heritage-committee	Railway Heritage Committee	https://www.gov.uk/government/organisations/railway-heritage-committee	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-transport				RHC		01-04-2013
redfern-inquiry	Redfern Inquiry	https://www.gov.uk/government/organisations/redfern-inquiry	Other							11-2010
regeneration-investment-organisation	Regeneration Investment Organisation	https://www.gov.uk/government/organisations/regeneration-investment-organisation	Sub-organisation	https://www.gov.uk/api/organisations/uk-trade-investment						
regulatory-delivery	Regulatory Delivery	https://www.gov.uk/government/organisations/regulatory-delivery	Sub-organisation	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy						
regulatory-policy-committee	Regulatory Policy Committee	https://www.gov.uk/government/organisations/regulatory-policy-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				RPC		
remploy-ltd	Remploy Ltd	https://www.gov.uk/government/organisations/remploy-ltd	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-work-pensions				Remploy		independant
renewable-fuels-agency	Renewable Fuels Agency	https://www.gov.uk/government/organisations/renewable-fuels-agency	Executive agency							01-04-2011
rent-service	Rent Service	https://www.gov.uk/government/organisations/rent-service	Executive agency							01-04-2009
reserve-forces-and-cadets-associations	Reserve Forces' and Cadets' Associations	https://www.gov.uk/government/organisations/reserve-forces-and-cadets-associations	Other	https://www.gov.uk/api/organisations/ministry-of-defence				RFCA		
reserve-forces-appeal-tribunal	Reserve Forces Appeal Tribunal	https://www.gov.uk/courts-tribunals/reserve-forces-appeal-tribunal	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
revenue-and-customs-prosecutions-office	Revenue and Customs Prosecutions Office	https://www.gov.uk/government/organisations/revenue-and-customs-prosecutions-office	Other							04-2010
review-board-for-government-contracts	Review Board for Government Contracts	https://www.gov.uk/government/organisations/review-board-for-government-contracts	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-defence				RBGC		31-03-2015
review-body-for-nursing-and-other-health-professions	Review Body for Nursing and Other Health Professions	https://www.gov.uk/government/organisations/review-body-for-nursing-and-other-health-professions	Other							find
review-body-on-doctors-and-dentists-remuneration	Review Body on Doctors' and Dentists' Remuneration	https://www.gov.uk/government/organisations/review-body-on-doctors-and-dentists-remuneration	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-of-health				DDRB		
review-body-on-senior-salaries	Senior Salaries Review Body	https://www.gov.uk/government/organisations/review-body-on-senior-salaries	Advisory non-departmental public body	https://www.gov.uk/api/organisations/cabinet-office				SSRB		
rivers-agency	Rivers Agency	https://www.gov.uk/government/organisations/rivers-agency	Executive agency							
roads-service	Roads Service	https://www.gov.uk/government/organisations/roads-service	Other							
rosemary-nelson-inquiry	Rosemary Nelson Inquiry	https://www.gov.uk/government/organisations/rosemary-nelson-inquiry	Other							23-05-2011
royal-air-force-museum	Royal Air Force Museum	https://www.gov.uk/government/organisations/royal-air-force-museum	Executive non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-defence				RAFM		
royal-armouries-museum	Royal Armouries Museum	https://www.gov.uk/government/organisations/royal-armouries-museum	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				RA		
royal-commission-on-criminal-justice	Royal Commission on Criminal Justice	https://www.gov.uk/government/organisations/royal-commission-on-criminal-justice	Other							1993
royal-commission-on-environmental-pollution	Royal Commission on Environmental Pollution	https://www.gov.uk/government/organisations/royal-commission-on-environmental-pollution	Other							01-04-2011
royal-liverpool-childrens-inquiry	Royal Liverpool Childrens Inquiry	https://www.gov.uk/government/organisations/royal-liverpool-childrens-inquiry	Other							30-01-2001
royal-mail	Royal Mail	https://www.gov.uk/government/organisations/royal-mail	Public corporation							
royal-marines-museum	Royal Marines Museum	https://www.gov.uk/government/organisations/royal-marines-museum	Other	https://www.gov.uk/api/organisations/ministry-of-defence				RMM		
royal-mint	Royal Mint	https://www.gov.uk/government/organisations/royal-mint	Other	https://www.gov.uk/api/organisations/hm-treasury				RM		
royal-mint-advisory-committee	Royal Mint Advisory Committee	https://www.gov.uk/government/organisations/royal-mint-advisory-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/hm-treasury				RMAC		
royal-museums-greenwich	Royal Museums Greenwich	https://www.gov.uk/government/organisations/royal-museums-greenwich	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				RMG		
royal-naval-museum	National Museum of the Royal Navy	https://www.gov.uk/government/organisations/royal-naval-museum	Executive non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-defence				RNM		
royal-navy-submarine-museum	Royal Navy Submarine Museum	https://www.gov.uk/government/organisations/royal-navy-submarine-museum	Other	https://www.gov.uk/api/organisations/ministry-of-defence				RNSM		
royal-parks	Royal Parks	https://www.gov.uk/government/organisations/royal-parks	Executive agency	https://www.gov.uk/api/organisations/department-for-culture-media-sport				Royal Parks		
royal-trustees-office	Royal Trustees' Office	https://www.gov.uk/government/organisations/royal-trustees-office	Other							2012
rural-development-programme-for-england-network	Rural Development Programme for England Network	https://www.gov.uk/government/organisations/rural-development-programme-for-england-network	Sub-organisation	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				RDPE Network		
rural-payments-agency	Rural Payments Agency	https://www.gov.uk/government/organisations/rural-payments-agency	Executive agency	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				RPA		
s4c	S4C	https://www.gov.uk/government/organisations/s4c	Other	https://www.gov.uk/api/organisations/department-for-culture-media-sport				S4C		
school-food-trust	School Food Trust	https://www.gov.uk/government/organisations/school-food-trust	Other					SFT		01-10-2011
school-teachers-review-body	School Teachers' Review Body	https://www.gov.uk/government/organisations/school-teachers-review-body	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-education				STRB		
schools-commissioners-group	Schools Commissioners Group	https://www.gov.uk/government/organisations/schools-commissioners-group	Sub-organisation	https://www.gov.uk/api/organisations/department-for-education						
science-advisory-committee-on-the-medical-implications-of-less-lethal-weapons	Scientific Advisory Committee on the Medical Implications of Less-Lethal Weapons	https://www.gov.uk/government/organisations/science-advisory-committee-on-the-medical-implications-of-less-lethal-weapons	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-defence				SACMILL		
science-advisory-council	Science Advisory Council	https://www.gov.uk/government/organisations/science-advisory-council	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				SAC		
science-and-technology-facilities-council	Science and Technology Facilities Council	https://www.gov.uk/government/organisations/science-and-technology-facilities-council	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				STFC		
science-museum-group	Science Museum Group	https://www.gov.uk/government/organisations/science-museum-group	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport						
scotland-office	Scotland Office	https://www.gov.uk/government/organisations/Scotland-office	Ministerial department			scotland-office-crest	#002663	Scotland Office		
scottish-arts-council	Scottish Arts Council	https://www.gov.uk/government/organisations/scottish-arts-council	Other							01-07-2010
scottish-hospital-trust	Scottish Hospital Trust	https://www.gov.uk/government/organisations/scottish-hospital-trust	Other							closed
scottish-law-commission	Scottish Law Commission	https://www.gov.uk/government/organisations/scottish-law-commission	Other							
scottish-office	Scottish Office	https://www.gov.uk/government/organisations/scottish-office	Ministerial department							1999
scottish-screen	Scottish Screen	https://www.gov.uk/government/organisations/scottish-screen	Other							01-07-2010
scottish-sports-council	Scottish Sports Council	https://www.gov.uk/government/organisations/scottish-sports-council	Executive agency							
sea-fish-industry-authority	Sea Fish Industry Authority	https://www.gov.uk/government/organisations/sea-fish-industry-authority	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				Seafish		
secret-intelligence-service	Secret Intelligence Service	https://www.gov.uk/government/organisations/secret-intelligence-service	Other	https://www.gov.uk/api/organisations/foreign-commonwealth-office				SIS		
security-industry-authority	Security Industry Authority	https://www.gov.uk/government/organisations/security-industry-authority	Executive non-departmental public body	https://www.gov.uk/api/organisations/home-office				SIA		
security-vetting-appeals-panel	Security Vetting Appeals Panel	https://www.gov.uk/government/organisations/security-vetting-appeals-panel	Advisory non-departmental public body	https://www.gov.uk/api/organisations/cabinet-office				SVAP		
senior-courts-costs-office	Senior Courts Costs Office	https://www.gov.uk/courts-tribunals/senior-courts-costs-office	Court	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
sentence-review-commissioners	Sentence Review Commissioners	https://www.gov.uk/government/organisations/sentence-review-commissioners	Other							find
serious-fraud-office	Serious Fraud Office	https://www.gov.uk/government/organisations/serious-fraud-office	Non-ministerial department	https://www.gov.uk/api/organisations/attorney-generals-office				SFO		
serious-organised-crime-agency	Serious Organised Crime Agency	https://www.gov.uk/government/organisations/serious-organised-crime-agency	Executive non-departmental public body	https://www.gov.uk/api/organisations/home-office				SOCA		07-10-2013
service-children-s-education	Service Children's Education	https://www.gov.uk/government/organisations/service-children-s-education	Executive agency	https://www.gov.uk/api/organisations/ministry-of-defence				SCE		
service-complaints-commissioner	Service Complaints Commissioner	https://www.gov.uk/government/organisations/service-complaints-commissioner	Other	https://www.gov.uk/api/organisations/ministry-of-defence				SCC		01-2016
service-complaints-ombudsman	Service Complaints Ombudsman	https://www.gov.uk/government/organisations/service-complaints-ombudsman	Other	https://www.gov.uk/api/organisations/ministry-of-defence						
service-personnel-and-veterans-agency	Service Personnel and Veterans Agency	https://www.gov.uk/government/organisations/service-personnel-and-veterans-agency	Executive agency	https://www.gov.uk/api/organisations/ministry-of-defence				SPVA		01-04-2014
service-prosecuting-authority	Service Prosecuting Authority	https://www.gov.uk/government/organisations/service-prosecuting-authority	Other	https://www.gov.uk/api/organisations/ministry-of-defence				SPA		
shipman-inquiry	Shipman Inquiry	https://www.gov.uk/government/organisations/shipman-inquiry	Other							27-01-2005
single-source-regulations-office	Single Source Regulations Office	https://www.gov.uk/government/organisations/single-source-regulations-office	Executive non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-defence				SSRO		
sir-john-soane-s-museum	Sir John Soane's Museum	https://www.gov.uk/government/organisations/sir-john-soane-s-museum	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				Soane's		
sitpro	SITPRO	https://www.gov.uk/government/organisations/sitpro	Other							30-11-2010
skills-funding-agency	Skills Funding Agency	https://www.gov.uk/government/organisations/skills-funding-agency	Executive agency	https://www.gov.uk/api/organisations/department-for-education				SFA		
social-mobility-and-child-poverty-commission	Social Mobility and Child Poverty Commission	https://www.gov.uk/government/organisations/social-mobility-and-child-poverty-commission	Advisory non-departmental public body	https://www.gov.uk/api/organisations/cabinet-office;https://www.gov.uk/api/organisations/department-for-education;https://www.gov.uk/api/organisations/department-for-work-pensions				SMCP Commission		
social-mobility-commission	Social Mobility Commission	https://www.gov.uk/government/organisations/social-mobility-commission	Advisory non-departmental public body	https://www.gov.uk/api/organisations/cabinet-office;https://www.gov.uk/api/organisations/department-for-education;https://www.gov.uk/api/organisations/department-for-work-pensions						
social-science-research-committee	Social Science Research Committee	https://www.gov.uk/government/organisations/social-science-research-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/food-standards-agency				SSRC		
social-security-advisory-committee	Social Security Advisory Committee	https://www.gov.uk/government/organisations/social-security-advisory-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-work-pensions				SSAC		
social-security-agency	Social Security Agency	https://www.gov.uk/government/organisations/social-security-agency	Executive agency	https://www.gov.uk/api/organisations/northern-ireland-executive						
south-bradford-education-action-zone	South Bradford Education Action Zone	https://www.gov.uk/government/organisations/south-bradford-education-action-zone	Other							09-01-2005
south-downs-national-park-authority	South Downs National Park Authority	https://www.gov.uk/government/organisations/south-downs-national-park-authority	Other	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				SDNP		
south-east-england-development-agency	South East England Development Agency	https://www.gov.uk/government/organisations/south-east-england-development-agency	Executive agency							2012
south-east-england-virtual-education-action-zone	South East England Virtual Education Action Zone	https://www.gov.uk/government/organisations/south-east-england-virtual-education-action-zone	Other							02-04-2005
south-east-sheffield-education-action-zone	South East Sheffield Education Action Zone	https://www.gov.uk/government/organisations/south-east-sheffield-education-action-zone	Other							16-04-2005
south-eastern-education-and-library-board	South Eastern Education and Library Board	https://www.gov.uk/government/organisations/south-eastern-education-and-library-board	Other							
south-west-of-england-regional-development-agency	South West of England Regional Development Agency	https://www.gov.uk/government/organisations/south-west-of-england-regional-development-agency	Executive agency							2012
southend-education-action-zone	Southend Education Action Zone	https://www.gov.uk/government/organisations/southend-education-action-zone	Other							30-11-2004
southern-health-and-social-services-board	Southern Health and Social Services Board	https://www.gov.uk/government/organisations/southern-health-and-social-services-board	Other							closed
special-eu-programmes-body	Special EU Programmes Body	https://www.gov.uk/government/organisations/special-eu-programmes-body	Other							
speke-garston-education-action-zone	Speke Garston Education Action Zone	https://www.gov.uk/government/organisations/speke-garston-education-action-zone	Other							09-01-2005
sport-england	Sport England	https://www.gov.uk/government/organisations/sport-england	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				SE		
sports-council-for-northern-ireland	Sports Council for Northern Ireland	https://www.gov.uk/government/organisations/sports-council-for-northern-Ireland	Other							
sports-council-for-wales	Sports Council for Wales	https://www.gov.uk/government/organisations/sports-council-for-wales	Other							
sports-grounds-safety-authority	Sports Grounds Safety Authority	https://www.gov.uk/government/organisations/sports-grounds-safety-authority	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				SGSA		
stabilisation-unit	Stabilisation Unit	https://www.gov.uk/government/organisations/stabilisation-unit	Other					SU		
staff-commission-for-education-and-library-boards	Staff Commission for Education and Library Boards	https://www.gov.uk/government/organisations/staff-commission-for-education-and-library-boards	Other							
standards-and-testing-agency	Standards and Testing Agency	https://www.gov.uk/government/organisations/standards-and-testing-agency	Executive agency	https://www.gov.uk/api/organisations/department-for-education				STA		
standards-board-for-england	Standards Board for England	https://www.gov.uk/government/organisations/standards-board-for-england	Other							31-01-2012
state-veterinary-service	State Veterinary Service	https://www.gov.uk/government/organisations/state-veterinary-service	Other							2007
statistics-commission	Statistics Commission	https://www.gov.uk/government/organisations/statistics-commission	Other							01-04-2008
stoke-education-action-zone	Stoke Education Action Zone	https://www.gov.uk/government/organisations/stoke-education-action-zone	Other							09-01-2005
strategic-rail-authority	Strategic Rail Authority	https://www.gov.uk/government/organisations/strategic-rail-authority	Other							30-11-2006
student-loans-company	Student Loans Company	https://www.gov.uk/government/organisations/student-loans-company	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-education				SLC		
sunderland-education-action-zone	Sunderland Education Action Zone	https://www.gov.uk/government/organisations/sunderland-education-action-zone	Other							09-01-2005
supreme-court-of-the-united-kingdom	Supreme Court of the United Kingdom	https://www.gov.uk/government/organisations/supreme-court-of-the-united-kingdom	Non-ministerial department					SCUK		
surveillance-camera-commissioner	Surveillance Camera Commissioner	https://www.gov.uk/government/organisations/surveillance-camera-commissioner	Other	https://www.gov.uk/api/organisations/home-office				SCC		
sutherland-inquiry	Sutherland Inquiry	https://www.gov.uk/government/organisations/sutherland-inquiry	Other							17-12-2008
tate	Tate	https://www.gov.uk/government/organisations/tate	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				Tate		
technical-advisory-board	Technical Advisory Board	https://www.gov.uk/government/organisations/technical-advisory-board	Advisory non-departmental public body	https://www.gov.uk/api/organisations/home-office				TAB		
technology-and-construction-court	Technology and Construction Court	https://www.gov.uk/courts-tribunals/technology-and-construction-court	Court	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
technology-strategy-board	Technology Strategy Board	https://www.gov.uk/government/organisations/technology-strategy-board	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-innovation-skills						name change
telford-and-wrekin-education-action-zone	Telford and Wrekin Education Action Zone	https://www.gov.uk/government/organisations/telford-and-wrekin-education-action-zone	Other							30-11-2004
tenant-services-authority	Tenant Services Authority	https://www.gov.uk/government/organisations/tenant-services-authority	Executive agency							10-2010
the-adjudicator-s-office	The Adjudicator’s Office	https://www.gov.uk/government/organisations/the-adjudicator-s-office	Other	https://www.gov.uk/api/organisations/hm-revenue-customs						
the-advisory-council-on-national-records-and-archives	The Advisory Council on National Records and Archives	https://www.gov.uk/government/organisations/the-advisory-council-on-national-records-and-archives	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				ACNRA		
the-coal-authority	Coal Authority	https://www.gov.uk/government/organisations/the-coal-authority	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy						
the-committee-on-standards-in-public-life	Committee on Standards in Public Life	https://www.gov.uk/government/organisations/the-committee-on-standards-in-public-life	Advisory non-departmental public body	https://www.gov.uk/api/organisations/cabinet-office				CSPL		
the-crown-estate	The Crown Estate	https://www.gov.uk/government/organisations/the-crown-estate	Other	https://www.gov.uk/api/organisations/hm-treasury						
the-electoral-commission	The Electoral Commission	https://www.gov.uk/government/organisations/the-electoral-commission	Independent monitoring body							
the-executive-office-northern-ireland	The Executive Office (Northern Ireland)	https://www.gov.uk/government/organisations/the-executive-office-northern-Ireland	Other							
the-food-and-environment-research-agency	The Food and Environment Research Agency	https://www.gov.uk/government/organisations/the-food-and-environment-research-agency	Executive agency	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				Fera		independent
the-fuel-poverty-advisory-group	Fuel Poverty Advisory Group	https://www.gov.uk/government/organisations/the-fuel-poverty-advisory-group	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-of-energy-climate-change				FPAG		
the-legal-ombudsman	The Legal Ombudsman	https://www.gov.uk/government/organisations/the-legal-ombudsman	Other	https://www.gov.uk/api/organisations/ministry-of-justice						
the-national-archives	The National Archives	https://www.gov.uk/government/organisations/the-national-archives	Non-ministerial department	https://www.gov.uk/api/organisations/department-for-culture-media-sport						
the-office-of-the-leader-of-the-house-of-commons	Office of the Leader of the House of Commons	https://www.gov.uk/government/organisations/the-office-of-the-leader-of-the-house-of-commons	Ministerial department	https://www.gov.uk/api/organisations/cabinet-office		portcullis-crest	#317023	OLHC		
the-parliamentary-and-health-service-ombudsman	The Parliamentary and Health Service Ombudsman	https://www.gov.uk/government/organisations/the-parliamentary-and-health-service-ombudsman	Other					The Ombudsman		
the-pensions-advisory-service	The Pensions Advisory Service	https://www.gov.uk/government/organisations/the-pensions-advisory-service	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-work-pensions				TPAS		
the-pensions-regulator	The Pensions Regulator	https://www.gov.uk/government/organisations/the-pensions-regulator	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-work-pensions				TPR		
the-reviewing-committee-on-the-export-of-works-of-art-and-objects-of-cultural-interest	The Reviewing Committee on the Export of Works of Art and Objects of Cultural Interest	https://www.gov.uk/government/organisations/the-reviewing-committee-on-the-export-of-works-of-art-and-objects-of-cultural-interest	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				RCEWA		
the-scottish-government	The Scottish Government	https://www.gov.uk/government/organisations/the-scottish-government	Devolved administration					The Scottish Government		
the-security-service-mi5	The Security Service	https://www.gov.uk/government/organisations/the-security-service-mi5	Other	https://www.gov.uk/api/organisations/home-office				MI5		
the-sentencing-council-for-england-and-wales	Sentencing Council for England and Wales	https://www.gov.uk/government/organisations/the-sentencing-council-for-england-and-wales	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-justice				SC		
the-shareholder-executive	The Shareholder Executive	https://www.gov.uk/government/organisations/the-shareholder-executive	Other	https://www.gov.uk/api/organisations/department-for-business-innovation-skills				ShEx		04-2016
the-theatres-trust	The Theatres Trust	https://www.gov.uk/government/organisations/the-theatres-trust	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				TTT		
the-water-services-regulation-authority	The Water Services Regulation Authority	https://www.gov.uk/government/organisations/the-water-services-regulation-authority	Non-ministerial department	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				Ofwat		
the-west-northamptonshire-development-corporation	West Northamptonshire Development Corporation	https://www.gov.uk/government/organisations/the-west-northamptonshire-development-corporation	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-communities-and-local-government				WNDC		13-07-2014
third-party-campaigning-review	Third Party Campaigning Review	https://www.gov.uk/government/organisations/third-party-campaigning-review	Other	https://www.gov.uk/api/organisations/cabinet-office				Third Party Campaigning Review		17-03-2016
thurrock-thames-gateway-development-corporation	Thurrock Thames Gateway Development Corporation	https://www.gov.uk/government/organisations/thurrock-thames-gateway-development-corporation	Other							31-10-2012
traffic-commissioners	Traffic Commissioners for Great Britain	https://www.gov.uk/government/organisations/traffic-commissioners	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/department-for-transport				TC		
training-and-development-agency-for-schools	Training and Development Agency for Schools	https://www.gov.uk/government/organisations/training-and-development-agency-for-schools	Executive agency					TDA		01-04-2012
transport-focus	Transport Focus	https://www.gov.uk/government/organisations/transport-focus	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-transport						
treasure-valuation-committee	Treasure Valuation Committee	https://www.gov.uk/government/organisations/treasure-valuation-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				TVC		
treasury-solicitor-s-department	Treasury Solicitor’s Department	https://www.gov.uk/government/organisations/treasury-solicitor-s-department	Non-ministerial department	https://www.gov.uk/api/organisations/attorney-generals-office				TSol		
tribunal-procedure-committee	Tribunal Procedure Committee	https://www.gov.uk/government/organisations/tribunal-procedure-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-justice				TPC		
trinity-house	Trinity House	https://www.gov.uk/government/organisations/trinity-house	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-transport				TLS		
trust-ports	Trust ports	https://www.gov.uk/government/organisations/trust-ports	Other	https://www.gov.uk/api/organisations/department-for-transport				TP		not closed
uk-anti-doping	UK Anti-Doping	https://www.gov.uk/government/organisations/uk-anti-doping	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				UKAD		
uk-atomic-energy-authority	UK Atomic Energy Authority	https://www.gov.uk/government/organisations/uk-atomic-energy-authority	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				UKAEA		
uk-border-agency	UK Border Agency	https://www.gov.uk/government/organisations/uk-border-agency	Executive agency	https://www.gov.uk/api/organisations/home-office				UKBA		
uk-co-ordinating-body	UK Co-ordinating Body	https://www.gov.uk/government/organisations/uk-co-ordinating-body	Other	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs;https://www.gov.uk/api/organisations/welsh-government;https://www.gov.uk/api/organisations/the-scottish-government;https://www.gov.uk/api/organisations/northern-ireland-executive				UKCB		
