government-organisation	name	website	government-organisation-type	parent-bodies	text	crest	official-colour	abbreviation	start-date	end date
british-museum	British Museum	https://www.gov.uk/government/organisations/british-museum	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				BM		
british-pharmacopoeia	British Pharmacopoeia Commission	https://www.gov.uk/government/organisations/british-pharmacopoeia	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-of-health						
british-potato-council	British Potato Council	https://www.gov.uk/government/organisations/british-potato-council	Other							01-04-2008
british-transport-police-authority	British Transport Police Authority	https://www.gov.uk/government/organisations/british-transport-police-authority	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-transport				BTPA		
broadcasting-standards-commission	Broadcasting Standards Commission	https://www.gov.uk/government/organisations/broadcasting-standards-commission	Other							29-12-2003
broads-authority	Broads Authority	https://www.gov.uk/government/organisations/broads-authority	Other	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs						
building-regulations-advisory-committee	Building Regulations Advisory Committee	https://www.gov.uk/government/organisations/building-regulations-advisory-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-communities-and-local-government				BRAC		
building-research-establishment	Building Research Establishment	https://www.gov.uk/government/organisations/building-research-establishment	Executive agency							1997
business-development-service	Business Development Service	https://www.gov.uk/government/organisations/business-development-service	Other							01-04-2006
buying-solutions	Buying Solutions	https://www.gov.uk/government/organisations/buying-solutions	Other							06-2010
cabinet-office	Cabinet Office	https://www.gov.uk/government/organisations/cabinet-office	Ministerial department			org-crest	#005abb			
cabinet-office-board	Cabinet Office Board	https://www.gov.uk/government/organisations/cabinet-office-board	Sub-organisation	https://www.gov.uk/api/organisations/cabinet-office						
camborne-pool-and-redruth-education-action-zone	"Camborne, Pool and Redruth Education Action Zone"	https://www.gov.uk/government/organisations/camborne-pool-and-redruth-education-action-zone	Other							
capacitybuilders	Capacitybuilders	https://www.gov.uk/government/organisations/capacitybuilders	Other							31-03-2011
capital-for-enterprise-ltd	Capital for Enterprise Limited	https://www.gov.uk/government/organisations/capital-for-enterprise-ltd	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-innovation-skills				CfEL		
care-quality-commission	Care Quality Commission	https://www.gov.uk/government/organisations/care-quality-commission	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-of-health				CQC		
careers-wales	Careers Wales	https://www.gov.uk/government/organisations/careers-wales	Other	https://www.gov.uk/api/organisations/welsh-government						
central-advisory-committee-on-compensation	Central Advisory Committee on Compensation	https://www.gov.uk/government/organisations/central-advisory-committee-on-compensation	Ad-hoc advisory group	https://www.gov.uk/api/organisations/ministry-of-defence				CAC Compensation		
central-advisory-committee-on-pensions-and-compensation	Central Advisory Committee on Pensions and Compensation	https://www.gov.uk/government/organisations/central-advisory-committee-on-pensions-and-compensation	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-defence				CAC Pensions and Compensation		
central-arbitration-committee	Central Arbitration Committee	https://www.gov.uk/government/organisations/central-arbitration-committee	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				CAC		
central-office-of-information	Central Office of Information	https://www.gov.uk/government/organisations/central-office-of-information	Other							30-12-2011
central-police-training-and-development-authority	Central Police Training and Development Authority	https://www.gov.uk/government/organisations/central-police-training-and-development-authority	Other							31-03-2007
central-science-laboratory	Central Science Laboratory	https://www.gov.uk/government/organisations/central-science-laboratory	Executive agency							31-03-2009
centre-for-defence-enterprise	Centre for Defence Enterprise	https://www.gov.uk/government/organisations/centre-for-defence-enterprise	Sub-organisation	https://www.gov.uk/api/organisations/defence-science-and-technology-laboratory				CDE		
centre-for-environment-fisheries-and-aquaculture-science	"Centre for Environment, Fisheries and Aquaculture Science"	https://www.gov.uk/government/organisations/centre-for-environment-fisheries-and-aquaculture-science	Executive agency	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				Cefas		
centre-for-the-protection-of-national-infrastructure	Centre for the Protection of National Infrastructure	https://www.gov.uk/government/organisations/centre-for-the-protection-of-national-infrastructure	Other	https://www.gov.uk/api/organisations/the-security-service-mi5;https://www.gov.uk/api/organisations/government-communications-headquarters				CPNI		
certification-officer	Certification Officer	https://www.gov.uk/government/organisations/certification-officer	Other	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				Certification Officer		
cesg	CESG	https://www.gov.uk/government/organisations/cesg	Sub-organisation	https://www.gov.uk/api/organisations/government-communications-headquarters				CESG		
chancery-division-of-the-high-court	Chancery Division of the High Court	https://www.gov.uk/courts-tribunals/chancery-division-of-the-high-court	Court	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
channel-4	The Charity Commission	https://www.gov.uk/government/organisations/channel-4	Public corporation	https://www.gov.uk/api/organisations/department-for-culture-media-sport				C4		
charity-commission	The Charity Commission	https://www.gov.uk/government/organisations/charity-commission	Non-ministerial department					Charity Commission		
chemical-and-biological-defence-establishment	Chemical and Biological Defence Establishment	https://www.gov.uk/government/organisations/chemical-and-biological-defence-establishment	Other							
chevening-foundation	Chevening Scholarship Programme	https://www.gov.uk/government/organisations/chevening-foundation	Other	https://www.gov.uk/api/organisations/foreign-commonwealth-office				Chevening		
chief-fire-and-rescue-adviser-unit	Chief Fire and Rescue Adviser	https://www.gov.uk/government/organisations/chief-fire-and-rescue-adviser-unit	Sub-organisation	https://www.gov.uk/api/organisations/home-office				CFRA		
chief-inspector-of-the-uk-border-agency	Independent Chief Inspector of Borders and Immigration	https://www.gov.uk/government/organisations/chief-inspector-of-the-uk-border-agency	Independent monitoring body	https://www.gov.uk/api/organisations/home-office				Independent Chief Inspector		
child-maintenance-and-enforcement-commission	Child Maintenance and Enforcement Commission	https://www.gov.uk/government/organisations/child-maintenance-and-enforcement-commission	Other							30-07-2012
children-and-family-court-advisory-and-support-service	Cafcass	https://www.gov.uk/government/organisations/children-and-family-court-advisory-and-support-service	Executive non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-justice				Cafcass		
childrens-workforce-development-council	Children's Workforce Development Council	https://www.gov.uk/government/organisations/childrens-workforce-development-council	Other					CWDC		31-03-2012
